pub_id,Year,Title,Source,ISSN,DOI,EID,quartile,escuelas,docentes
2-s2.0-84930999585,2014,Design of an electronic system for monitoring muscle activity in weight-lifting,,,10.1109/CIIMA.2014.6983460,2-s2.0-84930999585,SQ,"['ESCUELA DE INGENIERÍA, ARQUITECTURA Y DISEÑO']",['SONIA HELENA CONTRERAS ORTIZ']
2-s2.0-84930999587,2014,Mechatronic design of an automated storage system located inside a confined space,,,10.1109/CIIMA.2014.6983464,2-s2.0-84930999587,SQ,"['ESCUELA DE INGENIERÍA, ARQUITECTURA Y DISEÑO']",['JOSE LUIS VILLA RAMIREZ']
2-s2.0-84936773970,2014,"Effect of deficit irrigation on yield, quality, and costs of the production of native spearmint",Journal of Irrigation and Drainage Engineering - ASCE,07339437,10.1061/(ASCE)IR.1943-4774.0000719,2-s2.0-84936773970,Q2,"['ESCUELA DE NEGOCIOS, LEYES Y SOCIEDAD']",['DANIEL TORO GONZALEZ']
2-s2.0-84940045997,2015,Computational model of savonius turbine; Modelado computacional de turbina Savonius,Ingeniare,07183291,10.4067/S0718-33052015000300009,2-s2.0-84940045997,Q4,"['ESCUELA DE INGENIERÍA, ARQUITECTURA Y DISEÑO']",['ARGEMIRO PALENCIA DIAZ']
2-s2.0-84942694095,2015,Salt stress induced changes in the exoproteome of the halotolerant bacterium Tistlia consotensis deciphered by proteogenomics,PLOS ONE,,10.1371/journal.pone.0135065,2-s2.0-84942694095,Q1,['CIENCIAS BÁSICAS'],['DIANA CAROLINA RUBIANO LABRADOR']
2-s2.0-84944057085,2013,Quality differentiation with flavors: Demand estimation of unobserved attributes,Journal of Agricultural and Food Industrial Organization,15420485; 21945896,10.1515/jafio-2013-0002,2-s2.0-84944057085,Q3,"['ESCUELA DE NEGOCIOS, LEYES Y SOCIEDAD']",['DANIEL TORO GONZALEZ']
2-s2.0-84947593699,2015,The urochloa foliar blight and collar rot pathogen rhizoctonia solani AG-1 IA emerged in South America via a host shift from rice,Phytopathology,0031949X,10.1094/PHYTO-04-15-0093-R,2-s2.0-84947593699,Q1,['CIENCIAS BÁSICAS'],['EDISSON CHAVARRO MESA']
2-s2.0-84947865592,2015,QuBiLs-MAS method in early drug discovery and rational drug identification of antifungal agents,SAR and QSAR in Environmental Research,1062936X,10.1080/1062936X.2015.1104517,2-s2.0-84947865592,Q3,['CIENCIAS BÁSICAS'],['ROSA LEONOR ACEVEDO BARRIOS']
2-s2.0-84949179801,2012,Security in embedded systems,,,10.1007/978-1-4419-8080-9_10,2-s2.0-84949179801,SQ,['ESCUELA DE TRANSFORMACIÓN DIGITAL'],['JUAN CARLOS MARTINEZ SANTOS']
2-s2.0-84951910742,2016,Modeling of a falling-film photocatalytic reactor: Fluid dynamics for turbulent regime,Applied Mathematical Modelling,0307904X,10.1016/j.apm.2015.12.007,2-s2.0-84951910742,Q1,"['ESCUELA DE INGENIERÍA, ARQUITECTURA Y DISEÑO']",['DEYLER RAFAEL CASTILLA CABALLERO']
